#YYYY MM DD HH MM P(mm) PET(mm)
2016 10 01 00 00 0.0 0.0
2016 10 01 01 00 1.27 0.0
2016 10 01 02 00 0.0 0.0
2016 10 01 03 00 0.0 0.0
2016 10 01 04 00 0.0 0.0
2016 10 01 05 00 0.0 0.0
2016 10 01 06 00 0.0 0.0054
2016 10 01 07 00 0.0 0.1089
2016 10 01 08 00 0.0 0.2977
2016 10 01 09 00 0.0 0.5312
2016 10 01 10 00 0.0 0.6488
2016 10 01 11 00 0.0 0.8464
2016 10 01 12 00 0.0 0.8482
2016 10 01 13 00 0.0 0.8925
2016 10 01 14 00 0.0 0.8228
2016 10 01 15 00 0.0 0.6019
2016 10 01 16 00 0.0 0.3759
2016 10 01 17 00 0.0 0.1445
2016 10 01 18 00 0.0 0.0053
2016 10 01 19 00 0.0 0.0
2016 10 01 20 00 0.0 0.0
2016 10 01 21 00 0.0 0.0
2016 10 01 22 00 0.0 0.0
2016 10 01 23 00 0.0 0.0
2016 10 02 00 00 0.0 0.0
2016 10 02 01 00 0.0 0.0
2016 10 02 02 00 0.0 0.0
2016 10 02 03 00 0.0 0.0
2016 10 02 04 00 0.0 0.0
2016 10 02 05 00 0.0 0.0
2016 10 02 06 00 0.0 0.0063
2016 10 02 07 00 0.0 0.1082
2016 10 02 08 00 0.0 0.2795
2016 10 02 09 00 0.0 0.4859
2016 10 02 10 00 0.0 0.6727
2016 10 02 11 00 0.0 0.81
2016 10 02 12 00 0.0 0.8834
2016 10 02 13 00 0.0 0.8573
2016 10 02 14 00 0.0 0.7666
2016 10 02 15 00 0.0 0.5956
2016 10 02 16 00 0.0 0.3747
2016 10 02 17 00 0.0 0.153
2016 10 02 18 00 0.0 0.0035
2016 10 02 19 00 0.0 0.0
2016 10 02 20 00 0.0 0.0
2016 10 02 21 00 0.0 0.0
2016 10 02 22 00 0.0 0.0
2016 10 02 23 00 0.0 0.0
2016 10 03 00 00 0.0 0.0
2016 10 03 01 00 0.0 0.0
2016 10 03 02 00 0.0 0.0
2016 10 03 03 00 0.0 0.0
2016 10 03 04 00 0.0 0.0
2016 10 03 05 00 0.0 0.0
2016 10 03 06 00 0.0 0.0094
2016 10 03 07 00 1.27 0.0325
2016 10 03 08 00 0.0 0.0717
2016 10 03 09 00 0.0 0.1963
2016 10 03 10 00 0.0 0.5036
2016 10 03 11 00 0.0 0.4459
2016 10 03 12 00 5.08 0.5783
2016 10 03 13 00 12.192 0.6037
2016 10 03 14 00 9.398 0.3934
2016 10 03 15 00 3.81 0.2905
2016 10 03 16 00 8.382 0.1906
2016 10 03 17 00 1.016 0.1121
2016 10 03 18 00 0.254 0.002
2016 10 03 19 00 0.0 0.0
2016 10 03 20 00 0.0 0.0
2016 10 03 21 00 0.0 0.0
