"Texture	        theta_r	theta_e	alpha (cm^-1)	n	Ks (cm/h)"
"Sand"	                0.045	0.43	0.145	2.68	29.7
"Loamy-sand"	        0.057	0.41	0.124	2.28	14.5917
"Sandy-loam"	        0.065	0.41	0.075	1.89	4.42083
"Silt-loam"	        0.067	0.45	0.02	1.41	0.45
"Silt"	        	0.034	0.46	0.016	1.37	0.25
"Loam"	        	0.078	0.43	0.036	1.56	1.04
"Sandy-clay loam"	0.1	0.39	0.059	1.48	1.31
"Silty-clay loam"	0.089	0.43	0.01	1.23	0.07
"Clay-loam"	        0.095	0.41	0.019	1.31	0.26
"Sandy-clay"	        0.1	0.38	0.027	1.23	0.12
"Silty-clay"		0.07	0.36	0.005	1.09	0.02
"Clay"	        	0.068	0.38	0.008	1.09	0.2
