"Texture	        theta_r	theta_e	alpha (cm^-1)	n	Ks (cm/h)"
"Clay"	                0.054065	0.627975	0.01301331672487773	1.7945575	0.012683817950005425
"Clay"	                0.050705	0.577475	0.025733567644261095	1.5780455	0.009914024778060783
"Clay"	                0.040485	0.781625	0.035878642271230464	1.4401385	0.03324681141677865
"loam"	        	0.078	0.43	0.036	1.56	1.04
"silt"	        	0.034	0.46	0.016	1.37	0.25
"silt_loam"	        0.067	0.45	0.02	1.41	0.45
"sandy_clay_loam"	0.1	0.39	0.059	1.48	1.31
"clay_loam"	        0.095	0.41	0.019	1.31	0.26
"silty_clay_loam"	0.089	0.43	0.01	1.23	0.07
"sandy_clay"	        0.1	0.38	0.027	1.23	0.12
"silty_clay"		0.07	0.36	0.005	1.09	0.02
"clay"	        	0.068	0.38	0.008	1.09	0.2
