"Texture	        theta_r	theta_e	alpha (cm^-1)	n	Ks (cm/h)"
"Clay"	                0.019863	0.352975	0.03824828792704365	2.0642025000000004	0.010672102800646677
"Clay"	                0.09908899999999998	0.695575	0.0018344251671177291	1.3390465	0.6882559902933154
"Clay"	                0.138387	0.664775	0.0039564711202626415	1.3376535	1.701178949159976
"loam"	        	0.078	0.43	0.036	1.56	1.04
"silt"	        	0.034	0.46	0.016	1.37	0.25
"silt_loam"	        0.067	0.45	0.02	1.41	0.45
"sandy_clay_loam"	0.1	0.39	0.059	1.48	1.31
"clay_loam"	        0.095	0.41	0.019	1.31	0.26
"silty_clay_loam"	0.089	0.43	0.01	1.23	0.07
"sandy_clay"	        0.1	0.38	0.027	1.23	0.12
"silty_clay"		0.07	0.36	0.005	1.09	0.02
"clay"	        	0.068	0.38	0.008	1.09	0.2
