"Texture	        theta_r	theta_e	alpha (cm^-1)	n		Ks (cm/h)"
"Clay"	                0.1	0.46	1.00E-02	1.25		0.612
"Clay-loam"	        0.08	0.44	2.00E-02	1.42		0.3348
"Loam"	                0.06	0.4	1.00E-02	1.47		0.504
"Loamy-sand"	        0.05	0.39	3.00E-02	1.75		4.32
"Sand"	                0.05	0.38	4.00E-02	3.18		26.64
"Sandy-clay"	        0.12	0.39	3.00E-02	1.21		0.468
"Sandy-clay loam"	0.06	0.38	2.00E-02	1.33		0.54
"Sandy-loam"	        0.04	0.39	3.00E-02	1.45		1.584
"Silt"	                0.05	0.49	1.00E-02	1.68		1.836
"Silty-clay"	        0.11	0.48	2.00E-02	1.32		0.432
"Silty-clay loam"	0.09	0.48	1.00E-02	1.52		0.468
"Silt-loam"	        0.07	0.44	1.00E-02	1.66		0.756
"S1-1"                0.078	0.43	0.036		1.56		3.12
"S1-2"    	0.095 	0.41 	0.019 	1.31 	 	0.26
"S1-3" 	0.089 	0.43 	0.010 	1.23 	 	0.07
