"Texture	        theta_r	theta_e	alpha (cm^-1)	n	Ks (cm/h)"
"Sand"	                0.05	0.38	4.00E-02	3.18	26.64
"Loamy-sand"	        0.05	0.39	3.00E-02	1.75	4.32
"Sandy-loam"	        0.04	0.39	3.00E-02	1.45	1.584
"Silt-loam"	        0.07	0.44	1.00E-02	1.66	0.756
"Silt"	                0.05	0.49	1.00E-02	1.68	1.836
"Loam"	                0.06	0.4	1.00E-02	1.47	0.504
"Sandy-clay loam"	0.06	0.38	2.00E-02	1.33	0.54
"Silty-clay loam"	0.09	0.48	1.00E-02	1.52	0.468
"Clay-loam"	        0.08	0.44	2.00E-02	1.42	0.3348
"Sandy-clay"	        0.12	0.39	3.00E-02	1.21	0.468
"Silty-clay"	        0.11	0.48	2.00E-02	1.32	0.432
"Clay"	                0.1	0.46	1.00E-02	1.25	0.612
