#YYYY MM DD HH MM P(mm) PET(mm)
2016 10 01 00 00 0.0 0.0
2016 10 01 01 00 0.0 0.0
2016 10 01 02 00 0.0 0.0
2016 10 01 03 00 0.0 0.0
2016 10 01 04 00 0.0 0.0
2016 10 01 05 00 0.0 0.0
2016 10 01 06 00 0.0 0.06480000000000001
2016 10 01 07 00 0.0 1.3068
2016 10 01 08 00 0.0 3.5724000000000005
2016 10 01 09 00 0.0 6.3744000000000005
2016 10 01 10 00 0.0 7.7856000000000005
2016 10 01 11 00 0.0 10.1568
2016 10 01 12 00 0.0 10.1784
2016 10 01 13 00 0.0 10.71
2016 10 01 14 00 0.0 9.8736
2016 10 01 15 00 0.0 7.2228
2016 10 01 16 00 0.0 4.510800000000001
2016 10 01 17 00 0.0 1.734
2016 10 01 18 00 0.0 0.0636
2016 10 01 19 00 0.0 0.0
2016 10 01 20 00 0.0 0.0
2016 10 01 21 00 0.0 0.0
2016 10 01 22 00 0.0 0.0
2016 10 01 23 00 0.0 0.0
2016 10 02 00 00 0.0 0.0
2016 10 02 01 00 0.0 0.0
2016 10 02 02 00 0.0 0.0
2016 10 02 03 00 0.0 0.0
2016 10 02 04 00 0.0 0.0
2016 10 02 05 00 0.0 0.0
2016 10 02 06 00 0.0 0.0756
2016 10 02 07 00 0.0 1.2984000000000002
2016 10 02 08 00 0.0 3.3540000000000005
2016 10 02 09 00 0.0 5.8308
2016 10 02 10 00 0.0 8.0724
2016 10 02 11 00 0.0 9.72
2016 10 02 12 00 0.0 10.6008
2016 10 02 13 00 0.0 10.2876
2016 10 02 14 00 0.0 9.1992
2016 10 02 15 00 0.0 7.147200000000001
2016 10 02 16 00 0.0 4.4964
2016 10 02 17 00 0.0 1.836
2016 10 02 18 00 0.0 0.042
2016 10 02 19 00 0.0 0.0
2016 10 02 20 00 0.0 0.0
2016 10 02 21 00 0.0 0.0
2016 10 02 22 00 0.0 0.0
2016 10 02 23 00 0.0 0.0
2016 10 03 00 00 0.0 0.0
2016 10 03 01 00 0.0 0.0
2016 10 03 02 00 0.0 0.0
2016 10 03 03 00 0.0 0.0
2016 10 03 04 00 0.0 0.0
2016 10 03 05 00 0.0 0.0
2016 10 03 06 00 0.0 0.11280000000000001
2016 10 03 07 00 15.24 0.39
2016 10 03 08 00 0.0 0.8604
2016 10 03 09 00 0.0 2.3556000000000004
2016 10 03 10 00 0.0 6.043200000000001
2016 10 03 11 00 0.0 5.3508000000000004
2016 10 03 12 00 60.96 6.9396
2016 10 03 13 00 146.304 7.244400000000001
2016 10 03 14 00 112.776 4.7208000000000006
2016 10 03 15 00 45.720000000000006 3.4859999999999998
2016 10 03 16 00 100.584 2.2872
2016 10 03 17 00 12.192 1.3452000000000002
2016 10 03 18 00 3.048 0.024
2016 10 03 19 00 0.0 0.0
2016 10 03 20 00 0.0 0.0
2016 10 03 21 00 0.0 0.0
2016 10 03 22 00 0.0 0.0
2016 10 03 23 00 3.048 0.0
2016 10 04 00 00 0.0 0.0
2016 10 04 01 00 0.0 0.0
2016 10 04 02 00 0.0 0.0
2016 10 04 03 00 0.0 0.0
2016 10 04 04 00 0.0 0.0
2016 10 04 05 00 0.0 0.0
2016 10 04 06 00 0.0 0.0
2016 10 04 07 00 0.0 0.10439999999999999
2016 10 04 08 00 0.0 1.1004
2016 10 04 09 00 0.0 3.1752000000000002
2016 10 04 10 00 0.0 4.5144
2016 10 04 11 00 0.0 3.7512
2016 10 04 12 00 0.0 9.0024
2016 10 04 13 00 0.0 8.1336
2016 10 04 14 00 0.0 6.0648
2016 10 04 15 00 0.0 5.2548
2016 10 04 16 00 0.0 4.5264
2016 10 04 17 00 0.0 1.5744000000000002
2016 10 04 18 00 0.0 0.036000000000000004
2016 10 04 19 00 0.0 0.0
2016 10 04 20 00 0.0 0.0
2016 10 04 21 00 0.0 0.0
2016 10 04 22 00 0.0 0.0
