Time,P(mm),PET(mm)
2016-10-01 00:00:00,0.0,0.0
2016-10-01 01:00:00,0.0,0.0
2016-10-01 02:00:00,0.0,0.0
2016-10-01 03:00:00,0.0,0.0
2016-10-01 04:00:00,0.0,0.0
2016-10-01 05:00:00,0.0,0.0
2016-10-01 06:00:00,0.0,0.0653
2016-10-01 07:00:00,0.0,1.3066
2016-10-01 08:00:00,0.0,3.5721
2016-10-01 09:00:00,0.0,6.3744
2016-10-01 10:00:00,0.0,7.7855
2016-10-01 11:00:00,0.0,10.1567
2016-10-01 12:00:00,0.0,10.1789
2016-10-01 13:00:00,0.0,10.71
2016-10-01 14:00:00,0.0,9.8738
2016-10-01 15:00:00,0.0,7.2233
2016-10-01 16:00:00,0.0,4.5112
2016-10-01 17:00:00,0.0,1.7338
2016-10-01 18:00:00,0.0,0.0639
2016-10-01 19:00:00,0.0,0.0
2016-10-01 20:00:00,0.0,0.0
2016-10-01 21:00:00,0.0,0.0
2016-10-01 22:00:00,0.0,0.0
2016-10-01 23:00:00,0.0,0.0
2016-10-02 00:00:00,0.0,0.0
2016-10-02 01:00:00,0.0,0.0
2016-10-02 02:00:00,0.0,0.0
2016-10-02 03:00:00,0.0,0.0
2016-10-02 04:00:00,0.0,0.0
2016-10-02 05:00:00,0.0,0.0
2016-10-02 06:00:00,0.0,0.0755
2016-10-02 07:00:00,0.0,1.2981
2016-10-02 08:00:00,0.0,3.3543
2016-10-02 09:00:00,0.0,5.8307
2016-10-02 10:00:00,0.0,8.0722
2016-10-02 11:00:00,0.0,9.7195
2016-10-02 12:00:00,0.0,10.6005
2016-10-02 13:00:00,0.0,10.2876
2016-10-02 14:00:00,0.0,9.199
2016-10-02 15:00:00,0.0,7.1469
2016-10-02 16:00:00,0.0,4.4962
2016-10-02 17:00:00,0.0,1.8366
2016-10-02 18:00:00,0.0,0.0423
2016-10-02 19:00:00,0.0,0.0
2016-10-02 20:00:00,0.0,0.0
2016-10-02 21:00:00,0.0,0.0
2016-10-02 22:00:00,0.0,0.0
2016-10-02 23:00:00,0.0,0.0
2016-10-03 00:00:00,0.0,0.0
2016-10-03 01:00:00,0.0,0.0
2016-10-03 02:00:00,0.0,0.0
2016-10-03 03:00:00,0.0,0.0
2016-10-03 04:00:00,0.0,0.0
2016-10-03 05:00:00,0.0,0.0
2016-10-03 06:00:00,0.0,0.1129
2016-10-03 07:00:00,15.24,0.3898
2016-10-03 08:00:00,0.0,0.8598
2016-10-03 09:00:00,0.0,2.3555
2016-10-03 10:00:00,0.0,6.043
2016-10-03 11:00:00,0.0,5.3503
2016-10-03 12:00:00,60.96,6.9393
